Year,Month,Day,Value
2001,1,17,87
2001,2,17,67
2001,3,17,98
2001,4,17,84
2001,5,17,63
2001,6,17,49
2001,7,17,43
2001,8,17,34
2001,9,17,27
2001,10,17,78
2001,11,17,98
2001,12,17,53
2001,1,18,45
2001,2,18,64
2001,3,18,24
2001,4,18,93
2001,5,18,17
2001,6,18,23
2001,7,18,37
2001,8,18,3
2001,9,18,8
2001,10,18,55
2001,11,18,60
2001,12,18,14
2001,1,19,4
2001,2,19,51
2001,3,19,58
2001,4,19,31
2001,5,19,27
2001,6,19,63
2001,7,19,44
2001,8,19,16
2001,9,19,4
2001,10,19,92
2001,11,19,62
2001,12,19,60
2001,1,20,23
2001,2,20,91
2001,3,20,24
2001,4,20,88
2001,5,20,90
2001,6,20,0
2001,7,20,34
2001,8,20,24
2001,9,20,71
2001,10,20,51
2001,11,20,71
2001,12,20,23
2001,1,21,66
2001,2,21,15
2001,3,21,55
2001,4,21,92
2001,5,21,81
2001,6,21,87
2001,7,21,41
2001,8,21,9
2001,9,21,82
2001,10,21,69
2001,11,21,60
2001,12,21,61
2001,1,22,85
2001,2,22,80
2001,3,22,8
2001,4,22,58
2001,5,22,53
2001,6,22,18
2001,7,22,15
2001,8,22,71
2001,9,22,58
2001,10,22,18
2001,11,22,74
2001,12,22,74
2001,1,23,16
2001,2,23,17
2001,3,23,52
2001,4,23,20
2001,5,23,31
2001,6,23,43
2001,7,23,87
2001,8,23,15
2001,9,23,66
2001,10,23,41
2001,11,23,50
2001,12,23,93
2001,1,24,56
2001,2,24,97
2001,3,24,35
2001,4,24,29
2001,5,24,99
2001,6,24,81
2001,7,24,1
2001,8,24,69
2001,9,24,73
2001,10,24,21
2001,11,24,28
2001,12,24,47
2001,1,25,99
2001,2,25,90
2001,3,25,48
2001,4,25,97
2001,5,25,22
2001,6,25,76
2001,7,25,48
2001,8,25,40
2001,9,25,31
2001,10,25,6
2001,11,25,77
2001,12,25,84
2001,1,26,89
2001,2,26,31
2001,3,26,8
2001,4,26,97
2001,5,26,39
2001,6,26,11
2001,7,26,14
2001,8,26,71
2001,9,26,23
2001,10,26,46
2001,11,26,51
2001,12,26,60
2001,1,27,67
2001,2,27,23
2001,3,27,30
2001,4,27,59
2001,5,27,47
2001,6,27,44
2001,7,27,33
2001,8,27,75
2001,9,27,70
2001,10,27,85
2001,11,27,1
2001,12,27,36
2001,1,28,26
2001,2,28,0
2001,3,28,52
2001,4,28,27
2001,5,28,18
2001,6,28,93
2001,7,28,1
2001,8,28,41
2001,9,28,2
2001,10,28,73
2001,11,28,93
2001,12,28,18
2001,1,29,61
2001,2,29,0
2001,3,29,41
2001,4,29,58
2001,5,29,3
2001,6,29,80
2001,7,29,28
2001,8,29,84
2001,9,29,82
2001,10,29,7
2001,11,29,50
2001,12,29,16
2001,1,30,1
2001,2,30,0
2001,3,30,89
2001,4,30,0
2001,5,30,75
2001,6,30,0
2001,7,30,89
2001,8,30,91
2001,9,30,0
2001,10,30,12
2001,11,30,0
2001,12,30,52
2002,1,1,7
2002,2,1,29
2002,3,1,95
2002,4,1,38
2002,5,1,35
2002,6,1,74
2002,7,1,65
2002,8,1,6
2002,9,1,45
2002,10,1,29
2002,11,1,8
2002,12,1,19
2002,1,2,62
2002,2,2,77
2002,3,2,14
2002,4,2,12
2002,5,2,65
2002,6,2,2
2002,7,2,43
2002,8,2,1
2002,9,2,69
2002,10,2,0
2002,11,2,32
2002,12,2,50
2002,1,3,7
2002,2,3,84
2002,3,3,95
2002,4,3,9
2002,5,3,38
2002,6,3,90
2002,7,3,12
2002,8,3,94
2002,9,3,60
2002,10,3,62
2002,11,3,23
2002,12,3,65
2002,1,4,27
2002,2,4,66
2002,3,4,82
2002,4,4,33
2002,5,4,21
2002,6,4,93
2002,7,4,45
2002,8,4,45
2002,9,4,77
2002,10,4,30
2002,11,4,75
2002,12,4,61
2002,1,5,24
2002,2,5,86
2002,3,5,99
2002,4,5,77
2002,5,5,2
2002,6,5,48
2002,7,5,62
2002,8,5,92
2002,9,5,19
2002,10,5,93
2002,11,5,54
2002,12,5,19
2002,1,6,64
2002,2,6,42
2002,3,6,45
2002,4,6,50
2002,5,6,70
2002,6,6,40
2002,7,6,25
2002,8,6,97
2002,9,6,3
2002,10,6,44
2002,11,6,31
2002,12,6,85
2002,1,7,30
2002,2,7,41
2002,3,7,17
2002,4,7,44
2002,5,7,6
2002,6,7,45
2002,7,7,8
2002,8,7,69
2002,9,7,81
2002,10,7,27
2002,11,7,52
2002,12,7,28
2002,1,8,5
2002,2,8,99
2002,3,8,66
2002,4,8,49
2002,5,8,98
2002,6,8,79
2002,7,8,48
2002,8,8,97
2002,9,8,14
2002,10,8,66
2002,11,8,49
2002,12,8,57
2002,1,9,68
2002,2,9,53
2002,3,9,41
2002,4,9,71
2002,5,9,6
2002,6,9,46
2002,7,9,27
2002,8,9,46
2002,9,9,88
2002,10,9,17
2002,11,9,3
2002,12,9,82
2002,1,10,58
2002,2,10,85
2002,3,10,62
2002,4,10,53
2002,5,10,95
2002,6,10,46
2002,7,10,40
2002,8,10,81
2002,9,10,46
2002,10,10,57
2002,11,10,59
2002,12,10,88
2002,1,11,51
2002,2,11,73
2002,3,11,58
2002,4,11,23
2002,5,11,15
2002,6,11,40
2002,7,11,10
2002,8,11,20
2002,9,11,16
2002,10,11,44
2002,11,11,54
2002,12,11,97
2002,1,12,18
2002,2,12,23
2002,3,12,94
2002,4,12,38
2002,5,12,93
2002,6,12,34
2002,7,12,94
2002,8,12,92
2002,9,12,42
2002,10,12,34
2002,11,12,79
2002,12,12,33
2002,1,13,59
2002,2,13,93
2002,3,13,82
2002,4,13,89
2002,5,13,2
2002,6,13,1
2002,7,13,24
2002,8,13,40
2002,9,13,52
2002,10,13,26
2002,11,13,33
2002,12,13,79
2002,1,14,38
2002,2,14,17
2002,3,14,79
2002,4,14,5
2002,5,14,61
2002,6,14,41
2002,7,14,95
2002,8,14,12
2002,9,14,4
2002,10,14,48
2002,11,14,57
2002,12,14,73
2002,1,15,36
2002,2,15,36
2002,3,15,61
2002,4,15,9
2002,5,15,88
2002,6,15,29
2002,7,15,60
2002,8,15,73
2002,9,15,34
2002,10,15,80
2002,11,15,76
2002,12,15,78
2002,1,16,59
2002,2,16,30
2002,3,16,43
2002,4,16,33
2002,5,16,86
2002,6,16,29
2002,7,16,53
2002,8,16,27
2002,9,16,14
2002,10,16,65
2002,11,16,92
2002,12,16,12
2002,1,17,63
2002,2,17,0
2002,3,17,71
2002,4,17,97
2002,5,17,28
2002,6,17,80
2002,7,17,54
2002,8,17,88
2002,9,17,57
2002,10,17,92
2002,11,17,93
2002,12,17,29
2002,1,18,89
2002,2,18,73
2002,3,18,81
2002,4,18,31
2002,5,18,2
2002,6,18,61
2002,7,18,58
2002,8,18,12
2002,9,18,42
2002,10,18,5
2002,11,18,71
2002,12,18,66
2002,1,19,21
2002,2,19,90
2002,3,19,17
2002,4,19,67
2002,5,19,49
2002,6,19,16
2002,7,19,52
2002,8,19,53
2002,9,19,4
2002,10,19,82
2002,11,19,38
2002,12,19,43
2002,1,20,76
2002,2,20,59
2002,3,20,92
2002,4,20,36
2002,5,20,66
2002,6,20,58
2002,7,20,70
2002,8,20,78
2002,9,20,79
2002,10,20,92
2002,11,20,77
2002,12,20,56
2002,1,21,1
2002,2,21,25
2002,3,21,27
2002,4,21,23
2002,5,21,89
2002,6,21,81
2002,7,21,42
2002,8,21,37
2002,9,21,48
2002,10,21,67
2002,11,21,90
2002,12,21,0
2002,1,22,27
2002,2,22,0
2002,3,22,75
2002,4,22,16
2002,5,22,48
2002,6,22,81
2002,7,22,28
2002,8,22,99
2002,9,22,4
2002,10,22,94
2002,11,22,47
2002,12,22,51
2002,1,23,86
2002,2,23,59
2002,3,23,61
2002,4,23,87
2002,5,23,68
2002,6,23,27
2002,7,23,11
2002,8,23,52
2002,9,23,29
2002,10,23,11
2002,11,23,11
2002,12,23,65
2002,1,24,20
2002,2,24,43
2002,3,24,9
2002,4,24,45
2002,5,24,14
2002,6,24,49
2002,7,24,59
2002,8,24,8
2002,9,24,62
2002,10,24,97
2002,11,24,37
2002,12,24,85
2002,1,25,86
2002,2,25,44
2002,3,25,65
2002,4,25,53
2002,5,25,44
2002,6,25,84
2002,7,25,38
2002,8,25,69
2002,9,25,82
2002,10,25,70
2002,11,25,59
2002,12,25,56
2002,1,26,49
2002,2,26,65
2002,3,26,67
2002,4,26,4
2002,5,26,18
2002,6,26,35
2002,7,26,41
2002,8,26,68
2002,9,26,60
2002,10,26,25
2002,11,26,30
2002,12,26,65
2002,1,27,4
2002,2,27,20
2002,3,27,38
2002,4,27,24
2002,5,27,66
2002,6,27,35
2002,7,27,67
2002,8,27,80
2002,9,27,69
2002,10,27,61
2002,11,27,29
2002,12,27,94
2002,1,28,85
2002,2,28,0
2002,3,28,92
2002,4,28,0
2002,5,28,25
2002,6,28,43
2002,7,28,91
2002,8,28,58
2002,9,28,87
2002,10,28,41
2002,11,28,91
2002,12,28,59
2002,1,29,79
2002,2,29,0
2002,3,29,44
2002,4,29,31
2002,5,29,68
2002,6,29,74
2002,7,29,91
2002,8,29,46
2002,9,29,11
2002,10,29,17
2002,11,29,30
2002,12,29,77
2002,1,30,17
2002,2,30,0
2002,3,30,19
2002,4,30,0
2002,5,30,94
2002,6,30,0
2002,7,30,68
2002,8,30,43
2002,9,30,0
2002,10,30,60
2002,11,30,0
2002,12,30,6
2003,1,1,76
2003,2,1,76
2003,3,1,41
2003,4,1,51
2003,5,1,99
2003,6,1,37
2003,7,1,36
2003,8,1,86
2003,9,1,17
2003,10,1,43
2003,11,1,95
2003,12,1,3
2003,1,2,30
2003,2,2,9
2003,3,2,82
2003,4,2,16
2003,5,2,96
2003,6,2,59
2003,7,2,22
2003,8,2,98
2003,9,2,93
2003,10,2,29
2003,11,2,40
2003,12,2,28
2003,1,3,32
2003,2,3,59
2003,3,3,21
2003,4,3,96
2003,5,3,72
2003,6,3,88
2003,7,3,31
2003,8,3,60
2003,9,3,45
2003,10,3,95
2003,11,3,97
2003,12,3,62
2003,1,4,70
2003,2,4,78
2003,3,4,0
2003,4,4,91
2003,5,4,33
2003,6,4,70
2003,7,4,5
2003,8,4,18
2003,9,4,45
2003,10,4,96
2003,11,4,86
2003,12,4,20
2003,1,5,60
2003,2,5,83
2003,3,5,78
2003,4,5,88
2003,5,5,87
2003,6,5,84
2003,7,5,66
2003,8,5,30
2003,9,5,8
2003,10,5,45
2003,11,5,26
2003,12,5,14
2003,1,6,25
2003,2,6,92
2003,3,6,67
2003,4,6,86
2003,5,6,38
2003,6,6,58
2003,7,6,1
2003,8,6,41
2003,9,6,18
2003,10,6,13
2003,11,6,23
2003,12,6,20
2003,1,7,93
2003,2,7,61
2003,3,7,99
2003,4,7,20
2003,5,7,95
2003,6,7,83
2003,7,7,1
2003,8,7,36
2003,9,7,68
2003,10,7,1
2003,11,7,61
2003,12,7,92
2003,1,8,6
2003,2,8,71
2003,3,8,8
2003,4,8,73
2003,5,8,34
2003,6,8,52
2003,7,8,42
2003,8,8,43
2003,9,8,47
2003,10,8,89
2003,11,8,86
2003,12,8,20
2003,1,9,4
2003,2,9,41
2003,3,9,87
2003,4,9,10
2003,5,9,72
2003,6,9,3
2003,7,9,19
2003,8,9,15
2003,9,9,21
2003,10,9,38
2003,11,9,39
2003,12,9,47
2003,1,10,43
2003,2,10,21
2003,3,10,95
2003,4,10,18
2003,5,10,98
2003,6,10,83
2003,7,10,42
2003,8,10,24
2003,9,10,58
2003,10,10,43
2003,11,10,1
2003,12,10,54
2003,1,11,86
2003,2,11,93
2003,3,11,31
2003,4,11,82
2003,5,11,28
2003,6,11,73
2003,7,11,82
2003,8,11,48
2003,9,11,74
2003,10,11,40
2003,11,11,16
2003,12,11,87
2003,1,12,22
2003,2,12,21
2003,3,12,46
2003,4,12,60
2003,5,12,14
2003,6,12,76
2003,7,12,26
2003,8,12,11
2003,9,12,17
2003,10,12,9
2003,11,12,43
2003,12,12,64
2003,1,13,85
2003,2,13,5
2003,3,13,25
2003,4,13,3
2003,5,13,92
2003,6,13,52
2003,7,13,74
2003,8,13,31
2003,9,13,42
2003,10,13,51
2003,11,13,29
2003,12,13,67
2003,1,14,75
2003,2,14,47
2003,3,14,24
2003,4,14,72
2003,5,14,79
2003,6,14,37
2003,7,14,66
2003,8,14,11
2003,9,14,80
2003,10,14,63
2003,11,14,24
2003,12,14,18
2003,1,15,73
2003,2,15,65
2003,3,15,55
2003,4,15,20
2003,5,15,22
2003,6,15,21
2003,7,15,30
2003,8,15,43
2003,9,15,21
2003,10,15,64
2003,11,15,86
2003,12,15,40
2003,1,16,1
2003,2,16,46
2003,3,16,91
2003,4,16,26
2003,5,16,23
2003,6,16,91
2003,7,16,37
2003,8,16,53
2003,9,16,8
2003,10,16,52
2003,11,16,28
2003,12,16,26
2003,1,17,32
2003,2,17,38
2003,3,17,65
2003,4,17,9
2003,5,17,73
2003,6,17,6
2003,7,17,93
2003,8,17,55
2003,9,17,6
2003,10,17,15
2003,11,17,28
2003,12,17,14
2003,1,18,71
2003,2,18,10
2003,3,18,68
2003,4,18,55
2003,5,18,35
2003,6,18,29
2003,7,18,54
2003,8,18,70
2003,9,18,80
2003,10,18,67
2003,11,18,89
2003,12,18,45
2003,1,19,26
2003,2,19,64
2003,3,19,53
2003,4,19,66
2003,5,19,82
2003,6,19,49
2003,7,19,22
2003,8,19,33
2003,9,19,51
2003,10,19,8
2003,11,19,85
2003,12,19,84
2003,1,20,79
2003,2,20,14
2003,3,20,78
2003,4,20,32
2003,5,20,23
2003,6,20,49
2003,7,20,46
2003,8,20,70
2003,9,20,61
2003,10,20,54
2003,11,20,6
2003,12,20,47
2003,1,21,32
2003,2,21,3
2003,3,21,45
2003,4,21,38
2003,5,21,70
2003,6,21,5
2003,7,21,31
2003,8,21,41
2003,9,21,52
2003,10,21,86
2003,11,21,69
2003,12,21,81
2003,1,22,81
2003,2,22,86
2003,3,22,76
2003,4,22,64
2003,5,22,3
2003,6,22,95
2003,7,22,54
2003,8,22,90
2003,9,22,77
2003,10,22,16
2003,11,22,49
2003,12,22,10
2003,1,23,39
2003,2,23,56
2003,3,23,67
2003,4,23,72
2003,5,23,19
2003,6,23,74
2003,7,23,93
2003,8,23,63
2003,9,23,98
2003,10,23,68
2003,11,23,12
2003,12,23,70
2003,1,24,34
2003,2,24,82
2003,3,24,19
2003,4,24,42
2003,5,24,9
2003,6,24,19
2003,7,24,14
2003,8,24,41
2003,9,24,53
2003,10,24,36
2003,11,24,31
2003,12,24,74
2003,1,25,69
2003,2,25,47
2003,3,25,46
2003,4,25,99
2003,5,25,7
2003,6,25,25
2003,7,25,36
2003,8,25,96
2003,9,25,17
2003,10,25,6
2003,11,25,89
2003,12,25,90
2003,1,26,61
2003,2,26,70
2003,3,26,4
2003,4,26,12
2003,5,26,85
2003,6,26,65
2003,7,26,39
2003,8,26,22
2003,9,26,80
2003,10,26,17
2003,11,26,39
2003,12,26,52
2003,1,27,69
2003,2,27,16
2003,3,27,18
2003,4,27,33
2003,5,27,16
2003,6,27,6
2003,7,27,98
2003,8,27,66
2003,9,27,93
2003,10,27,26
2003,11,27,58
2003,12,27,64
2003,1,28,27
2003,2,28,0
2003,3,28,74
2003,4,28,58
2003,5,28,25
2003,6,28,95
2003,7,28,45
2003,8,28,63
2003,9,28,78
2003,10,28,56
2003,11,28,2
2003,12,28,95
2003,1,29,79
2003,2,29,0
2003,3,29,44
2003,4,29,31
2003,5,29,68
2003,6,29,74
2003,7,29,91
2003,8,29,46
2003,9,29,11
2003,10,29,17
2003,11,29,30
2003,12,29,77
2003,1,30,17
2003,2,30,0
2003,3,30,19
2003,4,30,0
2003,5,30,94
2003,6,30,0
2003,7,30,68
2003,8,30,43
2003,9,30,0
2003,10,30,60
2003,11,30,0
2003,12,30,6
2004,1,1,90
2004,2,1,78
2004,3,1,48
2004,4,1,69
2004,5,1,22
2004,6,1,93
2004,7,1,49
2004,8,1,89
2004,9,1,72
2004,10,1,81
2004,11,1,91
2004,12,1,63
2004,1,2,77
2004,2,2,7
2004,3,2,68
2004,4,2,78
2004,5,2,17
2004,6,2,9
2004,7,2,67
2004,8,2,60
2004,9,2,32
2004,10,2,73
2004,11,2,4
2004,12,2,0
2004,1,3,87
2004,2,3,48
2004,3,3,90
2004,4,3,18
2004,5,3,4
2004,6,3,43
2004,7,3,67
2004,8,3,54
2004,9,3,6
2004,10,3,74
2004,11,3,45
2004,12,3,28
2004,1,4,99
2004,2,4,84
2004,3,4,62
2004,4,4,69
2004,5,4,67
2004,6,4,27
2004,7,4,13
2004,8,4,46
2004,9,4,58
2004,10,4,24
2004,11,4,28
2004,12,4,90
2004,1,5,36
2004,2,5,53
2004,3,5,77
2004,4,5,38
2004,5,5,7
2004,6,5,22
2004,7,5,73
2004,8,5,89
2004,9,5,13
2004,10,5,11
2004,11,5,76
2004,12,5,73
2004,1,6,37
2004,2,6,20
2004,3,6,17
2004,4,6,23
2004,5,6,90
2004,6,6,25
2004,7,6,15
2004,8,6,73
2004,9,6,52
2004,10,6,79
2004,11,6,51
2004,12,6,87
2004,1,7,57
2004,2,7,60
2004,3,7,58
2004,4,7,42
2004,5,7,83
2004,6,7,94
2004,7,7,43
2004,8,7,21
2004,9,7,46
2004,10,7,6
2004,11,7,21
2004,12,7,67
2004,1,8,28
2004,2,8,31
2004,3,8,60
2004,4,8,20
2004,5,8,13
2004,6,8,94
2004,7,8,55
2004,8,8,14
2004,9,8,22
2004,10,8,99
2004,11,8,69
2004,12,8,93
2004,1,9,69
2004,2,9,60
2004,3,9,56
2004,4,9,77
2004,5,9,53
2004,6,9,82
2004,7,9,81
2004,8,9,27
2004,9,9,96
2004,10,9,2
2004,11,9,81
2004,12,9,53
2004,1,10,19
2004,2,10,7
2004,3,10,51
2004,4,10,32
2004,5,10,63
2004,6,10,91
2004,7,10,51
2004,8,10,74
2004,9,10,44
2004,10,10,8
2004,11,10,48
2004,12,10,41
2004,1,11,98
2004,2,11,31
2004,3,11,95
2004,4,11,42
2004,5,11,77
2004,6,11,31
2004,7,11,70
2004,8,11,72
2004,9,11,62
2004,10,11,32
2004,11,11,69
2004,12,11,15
2004,1,12,92
2004,2,12,89
2004,3,12,35
2004,4,12,34
2004,5,12,69
2004,6,12,86
2004,7,12,79
2004,8,12,36
2004,9,12,14
2004,10,12,25
2004,11,12,73
2004,12,12,85
2004,1,13,58
2004,2,13,31
2004,3,13,98
2004,4,13,5
2004,5,13,3
2004,6,13,90
2004,7,13,1
2004,8,13,34
2004,9,13,65
2004,10,13,77
2004,11,13,81
2004,12,13,5
2004,1,14,91
2004,2,14,75
2004,3,14,98
2004,4,14,12
2004,5,14,78
2004,6,14,83
2004,7,14,78
2004,8,14,19
2004,9,14,0
2004,10,14,68
2004,11,14,73
2004,12,14,57
2004,1,15,8
2004,2,15,61
2004,3,15,68
2004,4,15,29
2004,5,15,49
2004,6,15,64
2004,7,15,13
2004,8,15,97
2004,9,15,83
2004,10,15,44
2004,11,15,41
2004,12,15,78
2004,1,16,97
2004,2,16,52
2004,3,16,25
2004,4,16,4
2004,5,16,77
2004,6,16,49
2004,7,16,1
2004,8,16,49
2004,9,16,20
2004,10,16,99
2004,11,16,83
2004,12,16,61
2004,1,17,63
2004,2,17,91
2004,3,17,95
2004,4,17,42
2004,5,17,93
2004,6,17,97
2004,7,17,35
2004,8,17,83
2004,9,17,74
2004,10,17,15
2004,11,17,82
2004,12,17,7
2004,1,18,50
2004,2,18,38
2004,3,18,37
2004,4,18,95
2004,5,18,51
2004,6,18,94
2004,7,18,46
2004,8,18,7
2004,9,18,91
2004,10,18,44
2004,11,18,10
2004,12,18,13
2004,1,19,14
2004,2,19,16
2004,3,19,11
2004,4,19,72
2004,5,19,40
2004,6,19,58
2004,7,19,62
2004,8,19,0
2004,9,19,62
2004,10,19,94
2004,11,19,89
2004,12,19,59
2004,1,20,49
2004,2,20,99
2004,3,20,52
2004,4,20,13
2004,5,20,81
2004,6,20,69
2004,7,20,4
2004,8,20,91
2004,9,20,64
2004,10,20,48
2004,11,20,24
2004,12,20,55
2004,1,21,24
2004,2,21,84
2004,3,21,23
2004,4,21,94
2004,5,21,18
2004,6,21,62
2004,7,21,80
2004,8,21,24
2004,9,21,65
2004,10,21,15
2004,11,21,76
2004,12,21,49
2004,1,22,13
2004,2,22,2
2004,3,22,74
2004,4,22,1
2004,5,22,61
2004,6,22,63
2004,7,22,3
2004,8,22,70
2004,9,22,51
2004,10,22,79
2004,11,22,57
2004,12,22,7
2004,1,23,28
2004,2,23,88
2004,3,23,48
2004,4,23,54
2004,5,23,75
2004,6,23,82
2004,7,23,26
2004,8,23,79
2004,9,23,62
2004,10,23,39
2004,11,23,62
2004,12,23,48
2004,1,24,54
2004,2,24,61
2004,3,24,32
2004,4,24,81
2004,5,24,54
2004,6,24,53
2004,7,24,60
2004,8,24,55
2004,9,24,37
2004,10,24,27
2004,11,24,21
2004,12,24,39
2004,1,25,90
2004,2,25,97
2004,3,25,72
2004,4,25,42
2004,5,25,15
2004,6,25,61
2004,7,25,85
2004,8,25,85
2004,9,25,80
2004,10,25,87
2004,11,25,8
2004,12,25,85
2004,1,26,24
2004,2,26,99
2004,3,26,90
2004,4,26,5
2004,5,26,74
2004,6,26,33
2004,7,26,51
2004,8,26,22
2004,9,26,96
2004,10,26,3
2004,11,26,21
2004,12,26,28
2004,1,27,99
2004,2,27,53
2004,3,27,35
2004,4,27,65
2004,5,27,33
2004,6,27,94
2004,7,27,59
2004,8,27,12
2004,9,27,29
2004,10,27,74
2004,11,27,61
2004,12,27,65
2004,1,28,59
2004,2,28,4
2004,3,28,47
2004,4,28,81
2004,5,28,89
2004,6,28,63
2004,7,28,8
2004,8,28,49
2004,9,28,69
2004,10,28,37
2004,11,28,4
2004,12,28,32
2004,1,29,91
2004,2,29,0
2004,3,29,87
2004,4,29,87
2004,5,29,44
2004,6,29,63
2004,7,29,70
2004,8,29,32
2004,9,29,25
2004,10,29,7
2004,11,29,76
2004,12,29,15
2004,1,30,93
2004,2,30,0
2004,3,30,47
2004,4,30,0
2004,5,30,20
2004,6,30,0
2004,7,30,54
2004,8,30,82
2004,9,30,0
2004,10,30,36
2004,11,30,0
2004,12,30,17
2005,1,1,55
2005,2,1,36
2005,3,1,68
2005,4,1,98
2005,5,1,8
2005,6,1,98
2005,7,1,50
2005,8,1,15
2005,9,1,73
2005,10,1,70
2005,11,1,39
2005,12,1,59
2005,1,2,84
2005,2,2,44
2005,3,2,1
2005,4,2,42
2005,5,2,30
2005,6,2,16
2005,7,2,4
2005,8,2,4
2005,9,2,53
2005,10,2,57
2005,11,2,80
2005,12,2,53
2005,1,3,99
2005,2,3,53
2005,3,3,31
2005,4,3,88
2005,5,3,60
2005,6,3,26
2005,7,3,73
2005,8,3,2
2005,9,3,72
2005,10,3,60
2005,11,3,64
2005,12,3,31
2005,1,4,33
2005,2,4,92
2005,3,4,50
2005,4,4,43
2005,5,4,51
2005,6,4,58
2005,7,4,68
2005,8,4,19
2005,9,4,76
2005,10,4,19
2005,11,4,82
2005,12,4,22
2005,1,5,19
2005,2,5,17
2005,3,5,44
2005,4,5,20
2005,5,5,48
2005,6,5,48
2005,7,5,3
2005,8,5,91
2005,9,5,30
2005,10,5,26
2005,11,5,44
2005,12,5,91
2005,1,6,86
2005,2,6,30
2005,3,6,46
2005,4,6,22
2005,5,6,0
2005,6,6,92
2005,7,6,87
2005,8,6,14
2005,9,6,68
2005,10,6,44
2005,11,6,50
2005,12,6,79
2005,1,7,67
2005,2,7,98
2005,3,7,24
2005,4,7,92
2005,5,7,6
2005,6,7,24
2005,7,7,98
2005,8,7,61
2005,9,7,3
2005,10,7,22
2005,11,7,63
2005,12,7,96
2005,1,8,70
2005,2,8,20
2005,3,8,43
2005,4,8,60
2005,5,8,38
2005,6,8,16
2005,7,8,39
2005,8,8,15
2005,9,8,51
2005,10,8,36
2005,11,8,16
2005,12,8,85
2005,1,9,39
2005,2,9,95
2005,3,9,46
2005,4,9,47
2005,5,9,4
2005,6,9,70
2005,7,9,91
2005,8,9,53
2005,9,9,67
2005,10,9,33
2005,11,9,33
2005,12,9,38
2005,1,10,33
2005,2,10,79
2005,3,10,43
2005,4,10,70
